instruction,input,response
Quand la Kameto Corp a-t-elle été renommée en Karmine Corp ?,,À la suite d'un live sur la chaine Twitch de Kameto le 17 novembre 2020
Qui est le seul joueur conservé de la Kameto Corp pour le segment de printemps de LFL 2021 ?,,Adam « Adam » Maanane
Qui est le jungler de l'équipe Karmine ?,,Jakub « Cinkrof » Rokicki
Qui est le mid laner de l'équipe Karmine ?,,Lucas « Saken » Fayard
Qui est l'AD Carry de l'équipe Karmine ?,,Matthew « xMatty » Coombs
Qui est le support de l'équipe Karmine ?,,Raphaël «Targamas » Crabbé
Qui est le coach de l'équipe Karmine ?,,Yanis « Striker » Kella
Quelle équipe a remporté le championnat?,,La Karmine Corp
Combien de victoires et de défaites la Karmine Corp a-t-elle eu lors des deux premières semaines de la saison?,,Trois victoires pour deux défaites
Contre quelle équipe la Karmine Corp a-t-elle remporté le derby avec des audiences records?,Solary,Contre Solary
Avec quelle équipe la Karmine Corp a-t-elle fini à égalité en tête du classement de la saison régulière?,Misfits Premier,Misfits Premier
Contre quelle équipe la Karmine Corp a-t-elle perdu lors du match retour?,Solary,Solary
Quel joueur de la Karmine Corp a eu une prestation de haute volée lors de la finale?,Adam,Adam
Quelle est la compétition européenne pour laquelle la victoire de la Karmine Corp les qualifie ?,,Les European Masters
Qui était l'ancien joueur de la Karmine Corp parti chez l'équipe réserve de Schalke 04 ?,,Nuclearint
Contre quelle équipe la Karmine Corp a-t-elle été bousculée en quarts de finale ?,,ŠAIM SE SuppUp
Quelle équipe a affronté la Karmine Corp en demi-finale ?,,UCAM Esports Club
Qui a débloqué la rencontre en toute fin de partie pour la Karmine Corp en demi-finale ?,,Saken
Contre quelle équipe la Karmine Corp a-t-elle remporté la finale ?,,BT Excel
Qui a félicité la Karmine Corp pour sa victoire sur Twitter ?,,Le président de la République Emmanuel Macron
Quelle équipe a remporté la première moitié de segment impériale avec 9 victoires en 9 matchs?,,La Karmine
Contre quelle équipe la Karmine a-t-elle joué en finale du segment?,,Misfits Premier
Quel était le score final de la finale entre la Karmine et les Misfits Premier?,,3-1
Quel événement la Karmine a-t-elle accédé en finissant premiers de la saison régulière?,,La finale du segment et la phase de groupe des European Masters
Quel titre les European Masters détiennent-ils?,,Tenants du titre
Quelle équipe a battu la Karmine Corp en finale du segment?,,Les lapins
Quelle est la conséquence de la défaite de la Karmine en finale du segment?,,Première défaite dans une rencontre en plus d'un match gagnant
Quel était le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a perdu 3-2 contre Misfits Premier en finale de la Coupe de France en 2021.
Combien de matchs la Karmine Corp a-t-elle joué en tout lors de la saison 2021 ?,Liste détaillée des matchs de la Karmine Corp,La Karmine Corp a joué un total de 23 matchs lors de la saison 2021.
Quel était le bilan de la Karmine Corp à la fin de la saison estivale en 2021 ?,Segment Estival,Le bilan de la Karmine Corp à la fin de la saison estivale en 2021 était de 14 victoires et 4 défaites.
Contre quelle équipe la Karmine Corp a-t-elle joué en finale de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a joué contre Misfits Premier en finale de la Coupe de France en 2021.
Quelle est la date de la conférence de presse annonçant le départ de certains joueurs de l'équipe et la prolongation du staff technique ?,,Le 15 novembre 2021
Qui sont les joueurs qui ont quitté l'équipe lors de cette conférence de presse ?,,"Cinkrof, Targamas et xMatty"
Qui sont les membres du staff technique dont la prolongation a été annoncée jusqu'en 2023 ?,,Striker et Reha
D'où vient le AD Carry suédois Martin « Rekkles » Larsson ?,,De chez G2 Esports
Pourquoi Martin « Rekkles » Larsson était-il sur la liste des transferts de G2 Esports ?,,"Après la non-qualification aux Worlds 2021 de G2, malgré une équipe taillée pour le titre suprême"
Combien aurait coûté le transfert de Martin « Rekkles » Larsson à la Karmine Corp ?,,Près d'un million d'euros
Qui sont les nouveaux joueurs qui ont rejoint l'équipe ?,,"Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (aussi surnommé Bumm) et Wao « Wao » Dai"
Quelle est la date du premier match de la Karmine Corp ?,,Le premier match de la Karmine Corp a eu lieu à Barcelone.
Qui a fondé l'équipe e-sport KOI ?,,L'équipe e-sport KOI a été fondée par le streamer espagnol Ibai Llanos et le footballeur Gérard Piqué.
Où s'est déroulé le match retour entre la Karmine et les KOI ?,,Le match retour entre la Karmine et les KOI s'est déroulé au Carrousel du Louvre à Paris.
Quel était le score du match retour entre la Karmine et les KOI ?,,La Karmine a battu les KOI 2-1 lors du match retour.
Quel est le sponsor principal maillot de la Karmine ?,,Le sponsor principal maillot de la Karmine est Orange.
Quelle équipe a perdu quatre de ses six premiers matchs dans le championnat?,,Karmine Corp
Où s'est déroulée la 4e semaine du championnat?,,à l'Acropolis de Nice
Contre quelle équipe la Karmine Corp a-t-elle remporté deux victoires écrasantes?,,GameWard
Qui a réalisé un Pentakill lors de la 4e semaine du championnat?,,Rekkles
Quelle équipe a terminé deuxième de la saison régulière?,,Karmine Corp
Combien de victoires séparaient la Karmine Corp des LDLC OL à la fin de la saison régulière?,,une victoire
Quelle équipe a battu la Karmine Corp lors des play-offs de LFL ?,Aucune,LDLC OL et Team BDS Academy ont battu la Karmine Corp lors des play-offs de LFL.
Quel score a été obtenu lors de la demi-finale des gagnants contre LDLC OL ?,Aucune,LDLC OL a battu la Karmine Corp 3-0 lors de la demi-finale des gagnants.
Quelle équipe a battu la Karmine Corp dans la demi-finale des perdants ?,Aucune,Team BDS Academy a battu la Karmine Corp dans la demi-finale des perdants.
Où la Karmine Corp a-t-elle terminé dans la saison de LFL ?,Aucune,La Karmine Corp a terminé 3e de la saison de LFL.
Quelle compétition la Karmine Corp est-elle qualifiée pour après la saison de LFL ?,Aucune,La Karmine Corp est qualifiée pour les Amazon European Masters.
Quelle équipe a remporté le tour préliminaire des Amazon European Masters?,Aucune,La Karmine Corp (KC)
Contre quelle équipe la KC a-t-elle eu un mauvais départ en groupe?,X7 Esports,X7 Esports
Qui la KC a-t-elle battu en quarts-de-finale?,Unicorns of Love,L'équipe académique d'Unicorns of Love
Quelle équipe la KC affronte en demi-finale?,Vitality.Bee,Vitality.Bee
Contre quelle équipe la KC a-t-elle remporté en demi-finale malgré un mauvais départ?,Aucune,Vitality.Bee
Quelle équipe la KC affronte en finale?,LDLC OL,LDLC OL
Combien de European Masters la Karmine Corp a-t-elle remporté de suite?,Aucune,3 European Masters de suite
Quelle équipe a remporté cinq victoires sur six rencontres au début du segment d'été ?,début du segment d'été,La Karmine Corp
Où la Karmine Corp a-t-elle joué son match de saison régulière contre Misfits Premier ?,match de saison régulière contre Misfits Premier,À l'Accor Arena
Comment la série de victoires de la Karmine Corp s'est-elle terminée ?,série de victoires,Par une défaite
Comment la Karmine Corp a-t-elle terminé la saison régulière ?,saison régulière,6e
Dans quelle compétition la Karmine Corp n'est-elle pas encore qualifiée ?,compétition,Amazon European Masters
Contre quelle équipe la Karmine Corp est-elle opposée dans l'arbre des perdants ?,arbre des perdants,Les Boulonnais de GameWard
Qui rejoint la Karmine Corp en tant que jungler pour la saison 2023 ?,,Duncan « Skeanz » Marquet
Qui rejoint la Karmine Corp en tant qu'ADC pour la saison 2023 ?,,Hasan « Kaori » Sentürk
Qui rejoint la Karmine Corp en tant que support pour la saison 2023 ?,,Alexandru « whiteinn » Kolozsvari
Qui sont les deux joueurs français qui rejoignent la Karmine Corp pour la saison 2023 ?,,Lucas « Cabochard » Simon-Meslet et Lucas « Saken » Fayard
Qui rejoint l'équipe en tant qu'entraîneur pour la saison 2023 ?,,Stefan « Nerroh » Pereira
Qui rejoint Kameto et Prime en tant que directeur de la structure ?,,Arthur Perticoz
Quel est le bilan de l'équipe durant le Winter Split ?,Winter Split,7 victoires pour 11 défaites
Qui sont les joueurs qui réintègrent l'équipe en prévision du Summer Split ?,Summer Split,Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki
Qui remplace whiteninn et Skeanz dans l'équipe ?,"whiteninn, Skeanz",Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki
Qui remplace Kaori dans l'équipe ?,Kaori,Caliste « Caliste » Henry-Hennebert
Qui devient l'entraîneur principal de l'équipe ?,coach,Reha
Qui rejoint l'équipe au poste d'analyste ?,analyste,Wadi
Quelle équipe a pris la 1re place du classement lors du Summer Split 2023 ?,Summer Split 2023,L'équipe de la Karmine
Quel joueur a battu le record d'éliminations sur une saison régulière lors du Summer Split ?,Caliste,Caliste
Quel joueur a battu le record d'assistances lors du Summer Split ?,Targamas,Targamas
Quand la Karmine a-t-elle remporté son deuxième titre de champion de France ?,11 août 2023,Le 11 août 2023
Contre quelle équipe la Karmine s'est-elle imposée en demi-finales du Summer Split 2023 des EMEA Master ?,Team GO,Team GO
Contre quelle équipe la Karmine a-t-elle joué en finale du Summer Split 2023 des EMEA Master ?,Movistar Riders,Movistar Riders
Quelle équipe a remporté le championnat d'Europe en 2023 ?,,La Karmine Corp a remporté le championnat d'Europe en 2023.
"Qui est le ""midlaner"" français ayant remporté ses 4èmes EMEA Master en 2023 ?",,"Lucas ""Saken"" Fayard est le ""midlaner"" français ayant remporté ses 4èmes EMEA Master en 2023."
Quand la Karmine Corp a-t-elle annoncé son entrée à la LEC ?,,La Karmine Corp a annoncé son entrée à la LEC le 18 octobre 2023.
Jusqu'à quelle année le jeune Caliste a-t-il prolongé son contrat avec la Karmine Corp ?,,Le jeune Caliste a prolongé son contrat avec la Karmine Corp jusqu'en 2026.
Comment s'est déroulée la première année de la Karmine Corp en LEC en 2024 ?,,"La Karmine Corp a débuté en 2024 dans la LEC avec le Winter split et a fini dernière avec 2 victoires sur 9, ce qui ne lui a pas permis de se qualifier pour les playoffs."
Quel a été le résultat de l'équipe de la Karmine Corp au Spring Split en 2024 ?,,L'équipe de la Karmine Corp est arrivée à la dernière place au Spring Split en 2024 malgré un changement de coach.
Qui est mis sur le banc en tant que jungler dans l'équipe KC ?,,Zhou « Bo » Yang-Bo
Qui remplace Zhou « Bo » Yang-Bo en tant que jungler dans l'équipe KC ?,,Can « Closer » Çelik
Qui est recruté en tant que toplaner dans l'équipe KC ?,,Kim « Canna » Chang-Dong
Qui est remplacé par Kim « Canna » Chang-Dong en tant que toplaner dans l'équipe KC ?,,Lucas « Cabochard » Simon-Meslet
Qui sera promu de l'équipe LFL KarmineCorp Blue au poste de midlaner dans l'équipe KC ?,,Vladimiros « Vladi » Kourtidis
Qui sera remplacé par Vladimiros « Vladi » Kourtidis au poste de midlaner dans l'équipe KC ?,,Lucas « Saken » Fayard
Quand la Karmine Corp annonce la création de son roster Teamfight Tactics ?,,Le 22 août 2020
Qui remporte le Teamfight Tactics Galaxies Championship en devenant le premier champion du monde sur ce jeu ?,,Emre « Double61 » Demirtas
Qui est le partenaire de jeu principal de Emre « Double61 » Demirtas dans l'équipe Teamfight Tactics de la Karmine Corp ?,,Muhammed « CanbizZ » Canbaz
D'où viennent Emre « Double61 » Demirtas et Muhammed « CanbizZ » Canbaz ?,,Du département de l'Orne et sont cousins
Quelle est la date à laquelle la Karmine Corp a annoncé sa participation à la Trackmania Cup?,,Le 17 juillet 2020
Qui est le pilote français annoncé par la Karmine Corp pour sa participation à la Trackmania Cup?,,Romain « DarkeR » Dassonneville
Qui est annoncé comme pilote titulaire pour la Trackmania Grand League un mois après l'annonce de la participation de la Karmine Corp à la Trackmania Cup?,,Brendan « Bren » Seve
Quelle est la compétition la plus prestigieuse sur le jeu Trackmania?,,Trackmania Grand League
Que fera DarkeR en plus de participer à d'autres compétitions après l'annonce de l'arrivée de Brendan « Bren » Seve comme pilote titulaire pour la Trackmania Grand League?,,Il continuera d'étudier les circuits du jeu (le hunting) en contre-la-montre
Quand a été annoncée la création de la quatrième équipe de la Karmine Corp sur Rocket League ?,,Le 26 juillet 2021
Quels sont les noms des trois joueurs de l'équipe de Rocket League de la Karmine Corp ?,,"Maëllo « AztraL » Ernst, Marc « Stake » Bosch, Amine « itachi » Benayashi"
Quel événement a marqué l'annonce de la création de la quatrième équipe de la Karmine Corp sur Rocket League ?,KCX (Karmine Corp Xperience),La Karmine Corp Xperience (KCX)
Quel est le circuit de tournois officiel de Rocket League mentionné dans le texte ?,Rocket League Championship Series 2021-2022,Rocket League Championship Series 2021-2022
Où a eu lieu l'annonce de la création de la quatrième équipe de la Karmine Corp sur Rocket League ?,Palais des Congrès de Paris,Palais des Congrès de Paris
Quelle équipe a remporté son premier trophée sur Rocket League lors du WePlay e-sport Invitational ?,,La Karmine Corp
Contre quelle équipe la Karmine Corp a-t-elle remporté la victoire pour obtenir son premier trophée sur Rocket League ?,,Team BDS
Quel était le score de la finale de l'arbre des gagnants entre la Karmine Corp et Team BDS ?,,4-1
Quel format de finale avait annoncé l'organisation du tournoi ?,,"Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"
Combien de dollars se partagent les différents membres de l'équipe de la Karmine Corp ?,,15 000 dollars
Quelle équipe s'engage en Rocket League Championship Series (RLCS) ?,,La Karmine Corp
Combien de segments le circuit RLCS est-il divisé ?,,"Le circuit est divisé en 3 segments (automne, hiver et printemps)"
Qui est le nouveau joueur recruté par la Karmine Corp en avril 2022 ?,,Joseph « noly » Kidd
Qui remplace Stake dans l'équipe de la Karmine Corp ?,,Joseph « noly » Kidd
Quel joueur passe de remplaçant à coach principal pour la Karmine Corp ?,,Wagner « Eversax » Benjamin
Qui assiste le coach principal Wagner « Eversax » Benjamin ?,,Le coach Arleyobi
Quels joueurs ont rejoint la KCorp pour remplacer Aztral et Noly ?,"Aztral, Noly",Vatira et Exotiik ont rejoint la KCorp pour remplacer Aztral et Noly.
Quel joueur a été désigné meilleur joueur offensif du Major d'Hiver 2023 ?,Major d'Hiver 2023,Vatira a été désigné meilleur joueur offensif du Major d'Hiver 2023.
Quel titre a remporté la KCorp en Octobre 2022 ?,Octobre 2022,La KCorp a remporté un titre Regional Europe en Octobre 2022.
Quel événement marque le point culminant de l'histoire de la KCorp en RLCS en 2023 ?,9 avril 2023,"Le 9 avril 2023, la KCorp remporte un titre Major en s'imposant 4-2 contre Faze en finale."
Quelle équipe européenne a remporté le match d'exhibition des Jeux Olympiques d'esport contre Gen.G?,Jeux Olympiques d'esport,Karmine Corp
Qui a été désigné meilleur joueur européen de la saison?,meilleur joueur européen,Vatira
Quelle équipe a remporté le show match contre G2 lors du KCX3?,show match KCX3,G2
Quels joueurs ont quitté l'équipe de la Karmine Corp le 25 Octobre?,départs le 25 Octobre,"Eversax, Itachi et Exotiik"
Qui est devenu le nouveau coach de la Karmine en octobre 2023 ?,date (27 octobre 2023),Victor « Ferra » Francal
Quels joueurs ont rejoint la Karmine pour les Flip & Spin à la Paris Games Week 2023 ?,tournoi (Paris Games Week 2023),Rise et Noly
Quels joueurs ont été officialisés pour compléter l'équipe de la Karmine le 2 décembre 2023 ?,date (2 décembre 2023),Rise et Atow
Quelles victoires consécutives la Karmine a-t-elle remportées en février et mars 2024 ?,"dates (11 et 25 février, 10 mars 2024)",les 3 Open Qualifier d'Europe
Quelle place la Karmine a-t-elle obtenue au Major de Copenhague ?,tournoi (Major de Copenhague),demi-finale
Quelle est la date du HereticsXP auquel la Karmine Corp a participé en pré-saison ?,,15 décembre 2023
Contre quelle équipe la Karmine Corp a-t-elle joué lors du HereticsXP en pré-saison ?,,la nouvelle équipe d'Heretics
Quel était le score du showmatch entre la Karmine Corp et Heretics lors du HereticsXP en pré-saison ?,,13-7
Quand a débuté la nouvelle saison VCT en 2024 ?,,février 2024
Combien d'équipes se sont battues lors du tournoi Kickoff pour obtenir une place qualificative pour les Masters de Madrid ?,,11 équipes
Qui s'est qualifié pour les Masters de Madrid en compagnie de la Karmine Corp lors du tournoi Kickoff ?,,Heretics
Contre quelle équipe la Karmine Corp a-t-elle remporté sa première victoire lors des Masters de Madrid ?,,FPX
Contre quelles équipes la Karmine Corp a-t-elle perdu lors des Masters de Madrid ?,,Sentinels et Paper Rex
Combien de matchs la Karmine Corp a-t-elle joué avant de se qualifier pour les Masters de Madrid lors du tournoi Kickoff ?,,7 matchs
Quels ont été les résultats de la Karmine Corp lors des Masters de Madrid ?,,"victoire 2-0 contre FPX, défaites 0-2 contre Sentinels et 1-2 contre Paper Rex"
Quelle équipe a été annoncée pour participer à l'édition 2023 des Game changers EMEA ?,Date de l'annonce (9 février 2023),La Karmine Corp a annoncé une équipe 100% féminine pour participer à l'édition 2023 des Game changers EMEA.
Qui sont les membres de l'équipe 100% féminine annoncée pour les Game changers EMEA ?,Nom de l'équipe (Karmine Corp),"Les membres de l'équipe sont Asma « LiriLia » Boughida, Léa « matriix » Ransquin, Mélina « Mel » Houssein, Mathilde « Nelo » Beltoise et Nouhara « Ninou » Marcos Oraha."
Qui sont les coachs de l'équipe 100% féminine annoncée pour les Game changers EMEA ?,Nom de l'équipe (Karmine Corp),Les coachs de l'équipe sont Mathieu « LaAw » Plantin et Emma « Emash » Beziaud Le Pochat.
Quel jeu la Karmine Corp a-t-elle annoncé se lancer sur le 21 janvier 2023 ?,Nom du jeu (Super Smash Bros. Ultimate),La Karmine Corp a annoncé se lancer sur Super Smash Bros. Ultimate.
Qui est le premier joueur à rejoindre les rangs du Blue Wall pour Super Smash Bros. Ultimate ?,Nom du joueur (Pedro « Kurama » Alonso Jr.),Pedro « Kurama » Alonso Jr. est le premier joueur à rejoindre les rangs du Blue Wall pour Super Smash Bros. Ultimate.
Quel événement s'est déroulé au Palais des congrès de Paris le 26 juillet 2021 ?,Date et lieu,Karmine Corp Xperience avec 3 500 personnes
Où s'est déroulé le Showmatch Aller KCORP VS KOI le 15 décembre 2021 ?,Date et événement,Palau Sant Jordi en Espagne avec 12 000 personnes
Quel événement a eu lieu au Carrousel du Louvre le 8 janvier 2022 ?,Date et lieu,Showmatch Retour KCORP VS KOI avec 2 000 personnes
Quel événement s'est déroulé au Palais des congrès de Nice les 2 et 3 février 2022 ?,Date et lieu,LFL DAY'S avec 2 500 personnes
Où s'est déroulé le Karmine Corp Xperience 2 le 21 juin 2022 ?,Date et événement,Palais omnisports de Paris-Bercy en France avec 12 000 personnes
Quel événement a eu lieu à La Seine musicale le 16 février 2023 ?,Date et lieu,LFL DAY'S avec 3 500 personnes
Où s'est déroulé la Finale European Masters le 8 septembre 2023 ?,Date et événement,Sud de France Arena en France avec 7 000 personnes
Quel événement a eu lieu à Paris la Défense Aréna le 16 septembre 2023 ?,Date et lieu,Karmine Corp Xperience 3 avec 28 000 personnes
Où s'est déroulé le LFL DAY'S les 7 et 8 février 2024 ?,Date et événement,Palais Nikaïa en France avec 9 000 personnes
Qui est le cofondateur et président-directeur général de la Karmine Corp ?,,Kamel « Kameto » Kebir
Qui est le cofondateur et directeur de la Karmine Corp ?,,Amine « Prime » Mekri
Qui est le directeur général délégué de la Karmine Corp ?,,Zouhaïr « Kotei » Darji
Qui est le Head of esports de la Karmine Corp ?,,Clément Laparra
Qui est le directeur artistique de la Karmine Corp ?,,Dhav « Dhav » Oza
Qui est le Lead Content Producer de la Karmine Corp ?,,Erwin Hamayada
Qui est le gestionnaire des médias sociaux de la Karmine Corp ?,,Amaury « Maul » Clerckx
Quels sont les membres de l'équipe League of Legends LEC de Karmine Corp ?,,"Canna, Closer, Vladi, Upset, Targamas, Reha, Apples, Shaves, Clément Thillier"
Quels sont les rôles des membres de l'équipe League of Legends LEC de Karmine Corp ?,,"Toplaner, Jungler, Midlaner, ADC, Support, Head Coach, Assistant Coach, Performance Coach"
Quelle est la nationalité de Canna ?,,Corée du Sud
Quelle est la date d'entrée de Upset dans l'équipe League of Legends LEC de Karmine Corp ?,,3 janvier 2024
Quels sont les membres de l'équipe League of Legends LFL de Karmine Corp Blue ?,,"Maynter, 113, Abbedagge, Caliste, Fleshy, Wadi, Blidzy"
Quels sont les rôles des membres de l'équipe League of Legends LFL de Karmine Corp Blue ?,,"Toplaner, Jungler, Midlaner, ADC, Support, Head Coach, Assistant Coach"
Quel est le nom du joueur qui a été un ancien joueur de la Karmine Corp sur League of Legends en tant que Support ?,Support,Théo Le Scornec
Quel est le poste de jeu de Jiizuke lorsqu'il était un ancien joueur de la Karmine Corp sur League of Legends ?,Jiizuke,Midlaner
Quelle est la date de fin de contrat de Cinkrof en tant que Jungler pour la Karmine Corp ?,Cinkrof,20 novembre 2023
Quel est le nombre de matchs joués par Kaori en tant que Botlaner pour la Karmine Corp ?,Kaori,18 matchs
Qui était le Support pour la Karmine Corp avant le 16 mai 2023 ?,16 mai 2023,whiteinn
Quel est le nom du joueur qui est le Head Coach de l'équipe Striker ?,équipe Striker,Yanis Kella
Quel est le rôle de Rekkles dans l'équipe ?,Rekkles,Botlaner
Quelle est la nationalité de Cinkrof ?,Cinkrof,Pologne
"Combien de matchs a joué l'équipe composée d'Adam, Akabane, Helaz, jujutw0 et Nuclearint ?","Adam, Akabane, Helaz, jujutw0, Nuclearint",18 matchs
Quelle est la date de fin du contrat de Targamas avec son équipe ?,Targamas,15 novembre 2021
Quels sont les joueurs de l'équipe Teamfight Tactics et leur nationalité ?,,"- Emre Demirtas, nationalité française
    - Muhammed Canbaz, nationalité française
    - Christian Lüftner, nationalité allemande
    - Wet Jungler, nationalité allemande"
Quels sont les anciens joueurs de la Karmine Corp sur Trackmania et leur poste ?,,"- Bren, joueur
    - Otaaaq, joueur
    - DarkeR, joueur"
Quels sont les membres actuels de l'équipe Rocket League ?,,"Tristan Soyez, Axel Touret, Finlay Ferguson, Victor Francal, Jordi Nouvellet"
Quels sont les rôles des membres actuels de l'équipe Rocket League ?,,"Joueur, Joueur, Joueur, Coach, Performance Coach"
Quelle est la nationalité de chaque membre actuel de l'équipe Rocket League ?,,"Belgique, France, Angleterre, France, France"
Qui sont les anciens joueurs de la Karmine Corp sur Rocket League ?,,"Benjamin Wagner, Brice Bigeard, Amine Benayachi, Joseph Kidd, Maëllo Ernst, Marc Bosch Plujà"
Quels étaient les rôles des anciens joueurs de la Karmine Corp sur Rocket League ?,,"Coach, Joueur, Joueur, Joueur, Joueur, Joueur"
Quelles sont les dates d'entrée des membres actuels de l'équipe Rocket League ?,,"2 décembre 2023, 2 octobre 2022, 2 décembre 2023, 2 décembre 2023, 19 janvier 2024"
Quelles sont les dates de départ des anciens joueurs de la Karmine Corp sur Rocket League ?,,"16 septembre 2023, 16 septembre 2023, 16 septembre 2023, 24 septembre 2022, 21 septembre 2022, 17 avril 2022"
Quels sont les membres de l'équipe Valorant VCT et leur nationalité ?,,"Magnum (Tchéquie), Shin (France), marteen (Tchéquie), N4RRATE (États-Unis), tomaszy (Portugal), Engh (Russie), ZE1SH (France), Youenn (France)"
Quels sont les rôles des membres de l'équipe Valorant VCT ?,,"Joueur, Joueur, Joueur, Joueur, Joueur, Head Coach, Assistant Coach, Performance Coach"
