,0,1,2
102,"('instruction', 'Quel était le score final du match entre la KC et Vitality.Bee en demi-finale ?')","('input', 'aucune information supplémentaire nécessaire')","('response', '3-2 (victoire de la KC)')"
103,"('instruction', 'Quelle équipe la KC a-t-elle affrontée en finale des European Masters ?')","('input', 'aucune information supplémentaire nécessaire')","('response', 'LDLC OL')"
104,"('instruction', 'Quel était le résultat final de la finale des European Masters entre la KC et LDLC OL ?')","('input', 'aucune information supplémentaire nécessaire')","('response', '3-1 (victoire de la KC)')"
105,"('instruction', ""Quelle équipe a remporté cinq victoires sur six rencontres en début du segment d'été ?"")","('input', ""début du segment d'été"")","('response', 'La Karmine Corp')"
106,"('instruction', 'Où la Karmine Corp a-t-elle joué son match de saison régulière contre Misfits Premier ?')","('input', 'match de saison régulière contre Misfits Premier')","('response', ""À l'Accor Arena"")"
107,"('instruction', ""Combien de spectateurs étaient présents lors du match entre la Karmine Corp et Misfits Premier à l'Accor Arena ?"")","('input', ""match entre la Karmine Corp et Misfits Premier à l'Accor Arena"")","('response', 'Plus de 12 000 spectateurs')"
108,"('instruction', ""Comment la série de victoires de la Karmine Corp s'est-elle terminée ?"")","('input', 'série de victoires de la Karmine Corp')","('response', 'Par une défaite')"
109,"('instruction', 'Comment la Karmine Corp a-t-elle terminé sa saison régulière ?')","('input', 'fin de la saison régulière')","('response', '6e')"
110,"('instruction', 'Comment la Karmine Corp a-t-elle pu se qualifier pour les play-offs ?')","('input', 'qualification pour les play-offs')","('response', 'En attendant la dernière semaine')"
111,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle été opposée pour se qualifier pour les Amazon European Masters ?')","('input', 'qualification pour les Amazon European Masters')","('response', 'Les Boulonnais de GameWard')"
112,"('instruction', 'Qui rejoint la Karmine Corp en tant que jungler pour la saison 2023 ?')","('input', None)","('response', 'Duncan « Skeanz » Marquet\n\n-')"
113,"('instruction', ""Qui rejoint la Karmine Corp en tant qu'ADC pour la saison 2023 ?"")","('input', None)","('response', 'Hasan « Kaori » Sentürk\n\n-')"
114,"('instruction', 'Qui rejoint la Karmine Corp en tant que support pour la saison 2023 ?')","('input', None)","('response', 'Alexandru « whiteinn » Kolozsvari\n\n-')"
115,"('instruction', 'Qui sont les deux autres joueurs français qui rejoignent la Karmine Corp pour la saison 2023 ?')","('input', None)","('response', 'Lucas « Cabochard » Simon-Meslet et Lucas « Saken » Fayard\n\n-')"
116,"('instruction', ""Qui rejoint Clément « Nalkya » Guillemard et Rehareha « Reha » Ramanana comme entraîneur de l'équipe de la Karmine Corp pour la saison 2023 ?"")","('input', None)","('response', 'Stefan « Nerroh » Pereira\n\n-')"
117,"('instruction', 'Qui rejoint Kameto et Prime en tant que directeur de la structure ?')","('input', None)","('response', 'Arthur Perticoz')"
118,"('instruction', 'Quelle équipe a pris la 1re place du classement lors du Summer Split 2023?')","('input', None)","('response', ""l'équipe de la restructuration"")"
119,"('instruction', 'Quelle équipe a battu BK ROG lors du Summer Split 2023?')","('input', None)","('response', ""l'équipe"")"
120,"('instruction', ""Qui a battu le record d'éliminations sur une saison régulière lors du Summer Split?"")","('input', 'Caliste, date été 2023')","('response', 'Caliste')"
121,"('instruction', ""Qui a battu le record d'assistances lors du Summer Split?"")","('input', 'Targamas')","('response', 'Targamas')"
122,"('instruction', 'Quelle équipe a remporté son deuxième titre de champion de France le 11 août 2023?')","('input', None)","('response', 'la Karmine')"
123,"('instruction', ""Contre quelle équipe la Karmine s'est-elle imposée en demi-finales du Summer Split 2023 des EMEA Master?"")","('input', 'Team GO, date 1er septembre 2023')","('response', 'la structure française Team GO')"
124,"('instruction', 'Contre quelle équipe la Karmine a-t-elle joué en finale du Summer Split 2023 des EMEA Master?')","('input', 'Movistar Riders, date 1er septembre 2023')","('response', ""l'équipe espagnole Movistar Riders"")"
125,"('instruction', 'Qui est mis sur le banc comme jungler ?')","('input', 'post de jungler')","('response', 'Zhou « Bo » Yang-Bo')"
126,"('instruction', 'Quel est le nom du nouveau jungler appelé à rejoindre les rangs de la KC ?')","('input', None)","('response', 'Can « Closer » Çelik')"
127,"('instruction', 'Qui est le toplaner recruté au profit de Lucas « Cabochard » Simon-Meslet ?')","('input', None)","('response', 'Kim « Canna » Chang-Dong')"
128,"('instruction', ""Qui sera promu de l'équipe LFL KarmineCorp Blue pour prendre la place de Lucas « Saken » Fayard au poste de midlaner ?"")","('input', None)","('response', 'Vladimiros « Vladi » Kourtidis')"
129,"('instruction', 'Quel joueur de la Karmine Corp est devenu le tout premier champion du monde de Teamfight Tactics ?')","('input', 'Teamfight Tactics')","('response', 'Emre « Double61 » Demirtas')"
130,"('instruction', 'Quel événement a remporté Emre « Double61 » Demirtas pour devenir champion du monde de Teamfight Tactics ?')","('input', None)","('response', 'Teamfight Tactics Galaxies Championship')"
131,"('instruction', ""Quel est le nom du deuxième joueur engagé par l'équipe Teamfight Tactics en début d'année 2021 ?"")","('input', None)","('response', 'Muhammed « CanbizZ » Canbaz')"
132,"('instruction', ""D'où viennent les joueurs Emre « Double61 » Demirtas et Muhammed « CanbizZ » Canbaz ?"")","('input', None)","('response', ""du département de l'Orne, et sont cousins."")"
133,"('instruction', 'Quel événement a marqué la présentation de la quatrième équipe de la Karmine Corp sur Rocket League ?')","('input', None)","('response', 'La Karmine Corp a annoncé la création de sa quatrième équipe sur Rocket League lors de la Karmine Corp Xperience (ou KCX) le 26 juillet 2021.')"
134,"('instruction', 'Qui sont les trois joueurs de la nouvelle équipe de la Karmine Corp sur Rocket League ?')","('input', None)","('response', 'Les trois joueurs de la nouvelle équipe de la Karmine Corp sur Rocket League sont Maëllo « AztraL » Ernst, Marc « Stake » Bosch et Amine « itachi » Benayashi.')"
135,"('instruction', 'Quelle équipe a remporté son premier trophée sur Rocket League lors du WePlay e-sport Invitational ?')","('input', 'Aucune')","('response', 'La Karmine Corp')"
136,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle remporté la victoire pour obtenir son premier trophée sur Rocket League ?')","('input', 'Aucune')","('response', 'Team BDS')"
137,"('instruction', ""Quel était le score de la finale de l'arbre des gagnants entre la Karmine Corp et Team BDS ?"")","('input', 'Aucune')","('response', '4-1')"
138,"('instruction', 'Quelle était la particularité du format de la finale du tournoi ?')","('input', 'Aucune')","('response', ""Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"")"
139,"('instruction', ""Combien de membres de l'équipe partagent une dotation de 15 000 dollars ?"")","('input', 'Aucune')","('response', ""Les différents membres de l'équipe"")"
140,"('instruction', 'Qui est le nouveau joueur recruté par la Karmine Corp en avril 2022 pour remplacer Stake ?')","('input', 'date (avril 2022)')","('response', 'Joseph « noly » Kidd')"
141,"('instruction', 'Quel est le nouveau rôle de Wagner « Eversax » Benjamin au sein de la Karmine Corp ?')","('input', 'nom du joueur (Wagner « Eversax » Benjamin)')","('response', 'Il passe de remplaçant à coach principal')"
142,"('instruction', 'Quel est le nom du coach qui assiste Wagner « Eversax » Benjamin ?')","('input', 'nom du coach (Arleyobi)')","('response', 'Arleyobi')"
143,"('instruction', ""Qui a rejoint la KCorp en remplacement d'Aztral et Noly pour la saison à venir ?"")","('input', 'Aztral, Noly')","('response', 'Vatira, Exotiik')"
144,"('instruction', ""Quel joueur de la KCorp a été désigné meilleur joueur offensif du Major d'Hiver 2023 ?"")","('input', ""Major d'Hiver 2023"")","('response', 'Vatira')"
145,"('instruction', ""Quel événement a marqué le point culminant de l'histoire de la KCorp en RLCS ?"")","('input', '9 avril 2023')","('response', 'Victoire 4-2 contre Faze en finale')"
146,"('instruction', 'Quels sont les résultats de la Karmine Corp lors des compétitions mentionnées dans le texte ?')","('input', None)","('response', ""La Karmine Corp a fait quatrième, deuxième, puis quatrième lors des régionaux européens, a remporté le match d'exhibition des Jeux Olympiques d'esport contre Gen.G, a obtenu une troisième place lors du Spring Split, et finira à la quatrième place en tombant contre les futurs vainqueurs, la Team Vitality.\n    \n-"")"
147,"('instruction', 'Qui a été désigné meilleur joueur européen de la saison ?')","('input', None)","('response', 'Vatira a été désigné meilleur joueur européen de la saison.\n    \n-')"
148,"('instruction', 'Qui a été désigné meilleur joueur défensif lors des mondiaux ?')","('input', None)","('response', 'Vatira a été désigné meilleur joueur défensif lors des mondiaux.\n    \n-')"
149,"('instruction', ""Quelles sont les conséquences de l'annonce de séparation de l'équipe Karmine Corp ?"")","('input', None)","('response', ""L'équipe annonce la séparation de l'équipe, officialisée le 25 Octobre, avec les départs de Eversax, Itachi et Exotiik. Vatira reste membre du club."")"
150,"('instruction', 'Qui est devenu le nouveau coach de la Karmine en octobre 2023 ?')","('input', ""date de l'événement (27 octobre 2023)"")","('response', 'Victor « Ferra » Francal')"
151,"('instruction', 'Quels joueurs ont rejoint la Karmine en tant que joueurs pour les Flip & Spin ?')","('input', ""nom de l'équipe (Karmine)"")","('response', 'Rise et Noly')"
152,"('instruction', ""Quels joueurs ont été officialisés pour compléter l'équipe de la Karmine en décembre 2023 ?"")","('input', ""date de l'événement (2 décembre 2023)"")","('response', 'Rise et Atow')"
153,"('instruction', 'Quels tournois la Karmine a-t-elle remporté en février et mars 2024 ?')","('input', 'dates des tournois (11 et 25 février, 10 mars 20241)')","('response', ""les 3 Open Qualifier d'Europe consécutivement"")"
154,"('instruction', 'Quelle place la Karmine a-t-elle obtenue lors du Major de Copenhague ?')","('input', 'nom du tournoi (Major de Copenhague)')","('response', 'demi-finale')"
155,"('instruction', 'Qui sont les joueurs de la Karmine Corp sur Valorant ?')","('input', None)","('response', 'Alexis « Newzera » Humbert, Michael « mikee » Lim, Jonathan « TakaS » Paupard, Ryad « Shin » Ensaad et Amine « Amilwa » Saidi')"
156,"('instruction', ""Qui sont les coachs de l'équipe de la Karmine Corp sur Valorant ?"")","('input', None)","('response', 'Arthur « pm » Guillermet et Ahmed « ZE1SH » El Sheikh')"
157,"('instruction', ""Quand la Karmine Corp s'est-elle lancée sur Valorant ?"")","('input', None)","('response', 'Le 5 mai 2022')"
158,"('instruction', ""Quand la Karmine Corp a-t-elle annoncé un changement d'équipe pour la saison 2023-2024 de VCT ?"")","('input', None)","('response', 'Le 10 novembre 2023')"
159,"('instruction', 'Quelle est la date du HereticsXP auquel la Karmine Corp a participé en pré-saison ?')","('input', None)","('response', '15 décembre 2023')"
160,"('instruction', 'Contre quelle équipe la Karmine Corp a gagné son showmatch lors du HereticsXP en pré-saison ?')","('input', None)","('response', ""la nouvelle équipe d'Heretics"")"
161,"('instruction', 'Combien de matchs la Karmine Corp a-t-elle remporté pour se qualifier pour les Masters de Madrid ?')","('input', None)","('response', '7 matchs')"
162,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle débuté lors des Masters de Madrid ?')","('input', None)","('response', 'FPX')"
