,0,1,2
29,"('instruction', 'Combien de fois la structure Karmine Corp a-t-elle remporté le championnat européen ?')","('input', 'deux fois')","('response', 'deux fois')"
30,"('instruction', 'Quel titre la structure Karmine Corp a-t-elle remporté pour la troisième fois en triplé ?')","('input', 'segment de printemps 2022')","('response', 'segment de printemps 2022')"
31,"('instruction', 'Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?')","('input', None)","('response', ""l'équipe a remporté la ligue française et les EMEA Masters en 2023"")"
32,"('instruction', 'Quelle est la ligue européenne à laquelle la section League of Legends a rejoint en 2023?')","('input', None)","('response', 'la section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC)')"
33,"('instruction', 'Avec quelle équipe la section League of Legends a signé un accord pour acquérir sa place dans les LEC?')","('input', 'équipe danoise Astralis')","('response', ""l'équipe danoise Astralis"")"
34,"('instruction', ""Où la structure a-t-elle établi des locaux pour développer la section Valorant en fin d'année 2023?"")","('input', 'Berlin')","('response', 'des locaux à Berlin')"
35,"('instruction', 'Quel événement a rassemblé 3 500 personnes en 2021?')","('input', '2021')","('response', 'Le premier Karmine Corp Experience (KCX)')"
36,"('instruction', 'Combien de spectateurs ont été rassemblés lors de la deuxième édition du KCX en 2022?')","('input', '2022')","('response', '12 000 spectateurs')"
37,"('instruction', ""Où s'est déroulé le KCX3 en 2023?"")","('input', '2023')","('response', 'À la Paris La Défense Arena')"
38,"('instruction', ""En quelle année le club est devenu résident des Arènes de l'Agora?"")","('input', ""Arènes de l'Agora"")","('response', '2024')"
39,"('instruction', 'Quelle nouvelle équipe a pris la place laissée vacante en LFL en 2024?')","('input', '2024')","('response', 'Karmine Corp Blue')"
40,"('instruction', 'Quand Kameto Corp a-t-elle été créée?')","('input', '')","('response', 'Le 30 mars 2020')"
41,"('instruction', 'Quels joueurs ont été rachetés par Kameto Corp lors de la saison de Division 2 Française?')","('input', '')","('response', 'Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François')"
42,"('instruction', 'Quand la Kameto Corp a-t-elle annoncé son arrivée en LFL?')","('input', '')","('response', 'Le 17 novembre 2020')"
43,"('instruction', 'Qui a été conservé comme joueur pour le segment de printemps de LFL 2021?')","('input', '')","('response', 'Adam « Adam » Maanane')"
44,"('instruction', ""Quelle est la date de l'annonce de l'équipe de la Karmine ?"")","('input', None)","('response', 'Le 23 décembre 2020')"
45,"('instruction', ""Qui est le jungler de l'équipe de la Karmine ?"")","('input', None)","('response', 'Jakub « Cinkrof » Rokicki')"
46,"('instruction', 'Quel joueur évolue au poste de mid laner pour la Karmine ?')","('input', None)","('response', 'Lucas « Saken » Fayard')"
47,"('instruction', ""Qui est l'AD Carry de l'équipe de la Karmine ?"")","('input', None)","('response', 'Matthew « xMatty » Coombs')"
48,"('instruction', ""Quel joueur est le support de l'équipe de la Karmine ?"")","('input', None)","('response', 'Raphaël «Targamas » Crabbé')"
49,"('instruction', ""Quel joueur était déjà champion de France avec les Misfits Premier l'année dernière ?"")","('input', None)","('response', 'Raphaël «Targamas » Crabbé')"
50,"('instruction', ""Qui est le coach de l'équipe de la Karmine ?"")","('input', None)","('response', 'Yanis « Striker » Kella')"
51,"('instruction', 'Quelle équipe a remporté le championnat?')","('input', None)","('response', 'La Karmine Corp')"
52,"('instruction', 'Quel était le bilan de la Karmine Corp lors des deux premières semaines de la saison?')","('input', None)","('response', 'Trois victoires pour deux défaites')"
53,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle remporté le derby avec des audiences records?')","('input', 'Solary')","('response', 'Solary')"
54,"('instruction', 'Avec combien de défaites la Karmine Corp a-t-elle fini la saison régulière?')","('input', None)","('response', '3 défaites')"
55,"('instruction', 'Avec quelle équipe la Karmine Corp a fini à égalité en tête du classement de la saison régulière?')","('input', 'Misfits Premier')","('response', 'Misfits Premier')"
56,"('instruction', 'Qui a remporté le tie-break pour la première place entre la Karmine Corp et Misfits Premier?')","('input', None)","('response', 'La Karmine Corp')"
57,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle remporté la finale du championnat?')","('input', 'Misfits Gaming')","('response', 'Misfits Gaming')"
58,"('instruction', 'Quelle est la compétition que la victoire de la Karmine Corp leur permet de se qualifier ?')","('input', None)","('response', 'Les European Masters')"
59,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle été bousculée en quarts de finale ?')","('input', None)","('response', 'ŠAIM SE SuppUp')"
60,"('instruction', 'Qui a débloqué la victoire de la Karmine Corp en demi-finale ?')","('input', None)","('response', 'Saken')"
61,"('instruction', 'Quelle équipe la Karmine Corp a-t-elle battu en finale pour remporter le trophée ?')","('input', None)","('response', 'BT Excel')"
62,"('instruction', 'Qui a félicité la Karmine Corp pour sa victoire sur Twitter ?')","('input', None)","('response', 'Le président de la République Emmanuel Macron')"
63,"('instruction', 'Qui quitte la Karmine Corp le 12 mai 2021 ?')","('input', 'date (12 mai 2021)')","('response', 'Adam quitte la Karmine Corp le 12 mai 2021.')"
64,"('instruction', 'Où Adam rejoint-il après avoir quitté la Karmine Corp ?')","('input', 'nom (Adam)')","('response', ""Adam rejoint l'équipe de Fnatic après avoir quitté la Karmine Corp."")"
65,"('instruction', ""Qui remplace Adam dans l'équipe de la Karmine Corp ?"")","('input', 'nom (Adam)')","('response', ""Lucas « Cabochard » Simon-Meslet remplace Adam dans l'équipe de la Karmine Corp."")"
66,"('instruction', 'Quelle est la date à laquelle Kamel et Amine annoncent que Cabochard remplacera Adam ?')","('input', 'nom (Cabochard), noms (Kamel et Amine)')","('response', 'Kamel et Amine annoncent que Cabochard remplacera Adam le 29 mai 2021.')"
67,"('instruction', 'Quelle équipe Cabochard a-t-il précédemment rejoint avant de remplacer Adam ?')","('input', 'nom (Cabochard)')","('response', 'Cabochard a précédemment rejoint la Team Vitality avant de remplacer Adam.')"
68,"('instruction', 'Quels sont les résultats de la Karmine au cours de la première moitié de la saison ?')","('input', None)","('response', '9 victoires en 9 matchs')"
69,"('instruction', ""Qui est l'adversaire de la Karmine en finale du segment ?"")","('input', 'Misfits Premier')","('response', 'Misfits Premier')"
70,"('instruction', 'Quel est le score de la finale entre la Karmine et les Misfits Premier ?')","('input', None)","('response', '3-1')"
71,"('instruction', 'Quelle conséquence a la défaite en finale pour la Karmine ?')","('input', None)","('response', ""Première défaite dans une rencontre en plus d'un match gagnant, premier titre échappé en 2021"")"
72,"('instruction', 'Quel était le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021 ?')","('input', 'Coupe de France')","('response', 'La Karmine Corp a perdu 3-2 contre Misfits Premier en finale de la Coupe de France en 2021.')"
73,"('instruction', 'Combien de matchs la Karmine Corp a-t-elle joué lors de la saison 2021 en LFL ?')","('input', 'LFL')","('response', 'La Karmine Corp a joué 18 matchs lors de la saison 2021 en LFL.')"
74,"('instruction', 'Quel est le bilan de la Karmine Corp lors de la phase de groupe des European Masters 2021 ?')","('input', 'European Masters')","('response', 'Le bilan de la Karmine Corp lors de la phase de groupe des European Masters 2021 était de 3 victoires et 3 défaites.')"
75,"('instruction', 'Quel était le résultat de la Karmine Corp lors de la Finale - Round 5 de la Coupe de France en 2021 ?')","('input', 'Coupe de France')","('response', 'La Karmine Corp a perdu 2-3 contre Misfits Premier lors de la Finale - Round 5 de la Coupe de France en 2021.')"
76,"('instruction', ""Quelle est la date de la conférence de presse annonçant le départ de certains joueurs de l'équipe et la prolongation du staff technique ?"")","('input', None)","('response', 'Le 15 novembre 2021')"
77,"('instruction', ""Qui sont les joueurs qui ont quitté l'équipe lors de cette conférence de presse ?"")","('input', None)","('response', 'Cinkrof, Targamas et xMatty')"
78,"('instruction', ""Qui sont les membres du staff technique dont la prolongation a été annoncée jusqu'en 2023 ?"")","('input', None)","('response', 'Striker et Reha')"
79,"('instruction', ""D'où vient le AD Carry suédois Martin « Rekkles » Larsson ?"")","('input', None)","('response', 'De chez G2 Esports')"
80,"('instruction', 'Pourquoi Martin « Rekkles » Larsson était-il sur la liste des transferts ?')","('input', None)","('response', 'Après la non-qualification aux Worlds 2021 de G2')"
81,"('instruction', 'Combien aurait coûté le transfert de Martin « Rekkles » Larsson à la Karmine ?')","('input', None)","('response', ""Près d'un million d'euros"")"
82,"('instruction', ""Quels joueurs ont rejoint l'équipe après l'arrivée de Martin « Rekkles » Larsson ?"")","('input', None)","('response', 'Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (aussi surnommé Bumm) et Wao « Wao » Dai')"
83,"('instruction', ""Qui a été prolongé d'un an dans le roster ?"")","('input', None)","('response', 'Cabochard')"
84,"('instruction', 'Qui est resté à son poste dans le roster ?')","('input', None)","('response', 'Saken')"
85,"('instruction', ""Quel est le nom de l'équipe e-sport fondée par le streamer espagnol Ibai Llanos et le footballeur Gérard Piqué ?"")","('input', None)","('response', 'KOI')"
86,"('instruction', ""Où s'est déroulé le premier match de la saison de la Karmine Corp ?"")","('input', None)","('response', 'Barcelone')"
87,"('instruction', 'Quel était le score du premier match de la Karmine Corp contre les KOI ?')","('input', None)","('response', '2-1')"
88,"('instruction', 'Combien de spectateurs étaient présents au Palau Sant Jordi lors du premier match ?')","('input', None)","('response', '15 000 spectateurs')"
89,"('instruction', 'Où a eu lieu le match retour entre la Karmine et les KOI ?')","('input', None)","('response', 'Carrousel du Louvre à Paris')"
90,"('instruction', 'Quel était le score du match retour entre la Karmine et les KOI ?')","('input', None)","('response', '2-1')"
91,"('instruction', 'Combien de spectateurs ont regardé le match retour ?')","('input', None)","('response', '366 000 spectateurs')"
92,"('instruction', ""Quel sponsor a été officialisé comme sponsor principal maillot lors de l'événement ?"")","('input', None)","('response', 'Orange')"
93,"('instruction', 'Quelle équipe a perdu quatre de ses six premiers matchs dans le championnat?')","('input', None)","('response', 'Karmine Corp')"
94,"('instruction', ""Où s'est déroulée la 4e semaine du championnat?"")","('input', None)","('response', ""à l'Acropolis de Nice"")"
95,"('instruction', 'Contre quelles équipes la Karmine Corp a-t-elle remporté des victoires écrasantes en 4e semaine?')","('input', None)","('response', 'GameWard et Vitality.Bee')"
96,"('instruction', 'Qui a réalisé un Pentakill lors de la 4e semaine?')","('input', None)","('response', 'Rekkles')"
97,"('instruction', 'Quelle équipe a terminé deuxième de la saison régulière?')","('input', None)","('response', 'Karmine Corp')"
98,"('instruction', 'De combien de victoires les LDLC OL étaient-ils en avance sur la Karmine Corp à la fin de la saison régulière?')","('input', None)","('response', 'une victoire')"
99,"('instruction', 'Quelle équipe a battu la Karmine Corp lors des play-offs de LFL ?')","('input', 'Aucune')","('response', 'LDLC OL et Team BDS Academy ont battu la Karmine Corp lors des play-offs de LFL.')"
100,"('instruction', 'Quelle était la performance de la Karmine Corp lors des play-offs de LFL ?')","('input', 'Aucune')","('response', 'La Karmine Corp a été balayée 3-0 par LDLC OL dans la demi-finale des gagnants et a perdu 3-1 contre Team BDS Academy dans la demi-finale des perdants, terminant ainsi 3e de la saison de LFL.')"
101,"('instruction', 'Quelle est la signification de BO5 ?')","('input', 'Aucune')","('response', 'BO5 signifie ""best of 5"", où le premier qui gagne trois des cinq parties remporte le match.')"
102,"('instruction', 'Quelle compétition la Karmine Corp est-elle qualifiée pour après les play-offs de LFL ?')","('input', 'Aucune')","('response', 'La Karmine Corp est qualifiée pour les Amazon European Masters après les play-offs de LFL.')"
103,"('instruction', 'Quelle équipe a remporté le tour préliminaire des Amazon European Masters?')","('input', 'Aucune')","('response', 'La KC (Karmine Corp)')"
104,"('instruction', 'Contre quelle équipe la KC a-t-elle eu un mauvais départ en groupe?')","('input', 'Aucune')","('response', 'X7 Esports')"
105,"('instruction', 'Contre qui la KC a-t-elle pris sa revanche en finissant premier de son groupe?')","('input', 'Aucune')","('response', 'Les Anglais')"
106,"('instruction', 'Quelle équipe la KC a-t-elle battue en quarts-de-finale?')","('input', 'Aucune')","('response', ""L'équipe académique d'Unicorns of Love"")"
107,"('instruction', 'Qui la Karmine Corp affronte-t-elle en demi-finale?')","('input', 'Aucune')","('response', 'Vitality.Bee')"
108,"('instruction', 'Qui a remporté les deux premières manches contre la KC en demi-finale?')","('input', 'Aucune')","('response', 'Les abeilles (Vitality.Bee)')"
109,"('instruction', 'Contre qui la KC a-t-elle renversé la situation en demi-finale?')","('input', 'Aucune')","('response', 'Les abeilles (Vitality.Bee)')"
110,"('instruction', 'Qui la Karmine Corp affronte-t-elle en finale?')","('input', 'Aucune')","('response', 'LDLC OL')"
111,"('instruction', ""Quelle équipe était invaincue dans la compétition jusqu'à la finale?"")","('input', 'Aucune')","('response', 'LDLC OL')"
112,"('instruction', 'Quelle équipe a remporté les European Masters pour la troisième fois consécutive?')","('input', 'Aucune')","('response', 'La Karmine Corp')"
113,"('instruction', ""Quelle équipe a remporté cinq victoires sur six rencontres lors du début du segment d'été ?"")","('input', ""début du segment d'été"")","('response', 'La Karmine Corp')"
114,"('instruction', 'Où la Karmine Corp a-t-elle joué son match de saison régulière contre Misfits Premier ?')","('input', 'Misfits Premier')","('response', ""À l'Accor Arena"")"
115,"('instruction', ""Comment la série de victoires de la Karmine Corp s'est-elle terminée ?"")","('input', 'série de victoires')","('response', 'Par une défaite')"
116,"('instruction', 'Quelle place la Karmine Corp a-t-elle terminé en saison régulière ?')","('input', 'saison régulière')","('response', '6e')"
117,"('instruction', ""Dans quelle compétition la Karmine Corp n'est-elle pas encore qualifiée ?"")","('input', 'Amazon European Masters')","('response', ""La Karmine n'est pas encore qualifiée pour les Amazon European Masters"")"
118,"('instruction', ""Contre quelle équipe la Karmine Corp est-elle opposée dans l'arbre des perdants ?"")","('input', 'arbre des perdants')","('response', 'Les Boulonnais de GameWard')"
119,"('instruction', 'Quelle est la date du dernier match de la Karmine Corp lors de la saison 2022 ?')","('input', None)","('response', 'Le dernier match de la Karmine Corp lors de la saison 2022 était le 2 juin 2022.')"
120,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle joué lors de la demi-finale des playoffs - Round 4 ?')","('input', None)","('response', 'La Karmine Corp a joué contre Team BDS Academy lors de la demi-finale des playoffs - Round 4.')"
121,"('instruction', 'Quel est le bilan de la Karmine Corp après la demi-finale des playoffs - Round 4 ?')","('input', None)","('response', 'Le bilan de la Karmine Corp après la demi-finale des playoffs - Round 4 est de 13 victoires et 12 défaites.')"
122,"('instruction', 'Qui sont les membres de la nouvelle équipe de la Karmine Corp pour 2023 ?')","('input', None)","('response', 'Duncan « Skeanz » Marquet, Hasan « Kaori » Sentürk, Alexandru « whiteinn » Kolozsvari, Lucas « Cabochard » Simon-Meslet, Lucas « Saken » Fayard, Stefan « Nerroh » Pereira, Clément « Nalkya » Guillemard, Rehareha « Reha » Ramanana')"
123,"('instruction', 'Qui rejoint Kameto et Prime en tant que directeur de la structure ?')","('input', None)","('response', 'Arthur Perticoz')"
124,"('instruction', ""Quel est le bilan de l'équipe durant le Winter Split ?"")","('input', 'Winter Split')","('response', '7 victoires pour 11 défaites')"
125,"('instruction', ""Qui sont les joueurs qui réintègrent l'équipe en prévision du Summer Split ?"")","('input', 'Summer Split')","('response', 'Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki')"
126,"('instruction', ""Qui remplace whiteninn et Skeanz dans l'équipe ?"")","('input', 'whiteninn et Skeanz')","('response', 'Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki')"
127,"('instruction', ""Qui remplace Kaori dans l'équipe ?"")","('input', 'Kaori')","('response', 'Caliste « Caliste » Henry-Hennebert')"
128,"('instruction', ""Quel est le poste de Wadi au sein de l'équipe ?"")","('input', 'Wadi')","('response', 'analyste')"
129,"('instruction', 'Quelle équipe a pris la 1re place du classement lors du Summer Split 2023 ?')","('input', 'Summer Split 2023')","('response', ""l'équipe de la Karmine"")"
130,"('instruction', ""Qui a battu le record d'éliminations sur une saison régulière lors du Summer Split ?"")","('input', 'Caliste')","('response', 'Caliste')"
131,"('instruction', ""Qui a battu le record d'assistances lors du Summer Split ?"")","('input', 'Targamas')","('response', 'Targamas')"
132,"('instruction', 'Quand la Karmine a-t-elle remporté son deuxième titre de champion de France ?')","('input', '11 août 2023')","('response', 'le 11 août 2023')"
133,"('instruction', ""Contre quelle équipe la Karmine s'est-elle imposée lors des demi-finales du Summer Split 2023 des EMEA Master ?"")","('input', 'Team GO')","('response', 'la structure française Team GO')"
134,"('instruction', ""Contre quelle équipe la Karmine s'est-elle qualifiée en finale des EMEA Master ?"")","('input', 'Movistar Riders')","('response', ""l'équipe espagnole Movistar Riders"")"
135,"('instruction', ""Quelle équipe a remporté le championnat d'Europe en 2023?"")","('input', None)","('response', ""La Karmine Corp a remporté le championnat d'Europe en 2023."")"
136,"('instruction', 'Quel joueur français a remporté ses 4èmes EMEA Master en 2023?')","('input', None)","('response', 'Lucas ""Saken"" Fayard a remporté ses 4èmes EMEA Master en 2023.')"
137,"('instruction', 'Quand la Karmine Corp a-t-elle annoncé son entrée à la LEC?')","('input', None)","('response', 'La Karmine Corp a annoncé son entrée à la LEC le 18 octobre 2023.')"
138,"('instruction', ""Jusqu'à quelle année Caliste a-t-il prolongé son contrat avec la Karmine Corp?"")","('input', None)","('response', ""Caliste a prolongé son contrat avec la Karmine Corp jusqu'en 2026."")"
139,"('instruction', ""Comment s'est déroulée la première année de la Karmine Corp en LEC en 2024?"")","('input', None)","('response', ""La Karmine Corp a fini dernière avec 2 victoires sur 9 lors du Winter split en 2024, ne se qualifiant pas pour les playoffs. Au Spring Split, l'équipe a également terminé à la dernière place malgré un changement de coach."")"
140,"('instruction', 'Qui est le responsable de la structure de la Karmine Corp?')","('input', None)","('response', 'Kameto est le responsable de la structure de la Karmine Corp.')"
141,"('instruction', 'Qui est mis sur le banc en tant que jungler ?')","('input', None)","('response', 'Zhou « Bo » Yang-Bo')"
142,"('instruction', 'Qui remplace Zhou « Bo » Yang-Bo en tant que jungler ?')","('input', None)","('response', 'Can « Closer » Çelik')"
143,"('instruction', 'Qui est recruté en tant que toplaner ?')","('input', None)","('response', 'Kim « Canna » Chang-Dong')"
144,"('instruction', 'Qui est remplacé par Kim « Canna » Chang-Dong en tant que toplaner ?')","('input', None)","('response', 'Lucas « Cabochard » Simon-Meslet')"
145,"('instruction', ""Qui sera promu de l'équipe LFL KarmineCorp Blue au poste de midlaner ?"")","('input', None)","('response', 'Vladimiros « Vladi » Kourtidis')"
146,"('instruction', 'Qui est remplacé par Vladimiros « Vladi » Kourtidis au poste de midlaner ?')","('input', None)","('response', 'Lucas « Saken » Fayard')"
147,"('instruction', 'Quand la Karmine Corp annonce la création de son roster Teamfight Tactics ?')","('input', None)","('response', 'Le 22 août 2020')"
148,"('instruction', 'Qui remporte la Teamfight Tactics Galaxies Championship en devenant le tout premier champion du monde ?')","('input', None)","('response', 'Emre « Double61 » Demirtas')"
149,"('instruction', ""Qui est le partenaire de jeu principal de Emre « Double61 » Demirtas dans l'équipe Teamfight Tactics de la Karmine Corp ?"")","('input', None)","('response', 'Muhammed « CanbizZ » Canbaz')"
150,"('instruction', ""D'où viennent Emre « Double61 » Demirtas et Muhammed « CanbizZ » Canbaz ?"")","('input', None)","('response', ""Du département de l'Orne et sont cousins"")"
151,"('instruction', 'Qui a remporté la Trackmania Cup en 2020 ?')","('input', 'Trackmania Cup en 2020')","('response', 'La Karmine Corp')"
152,"('instruction', 'Quel est le nom du pilote français de la Karmine Corp pour la Trackmania Cup ?')","('input', 'Karmine Corp')","('response', 'Romain « DarkeR » Dassonneville')"
153,"('instruction', 'Qui est annoncé comme pilote titulaire pour la Trackmania Grand League en 2020 ?')","('input', 'Trackmania Grand League en 2020')","('response', 'Brendan « Bren » Seve')"
154,"('instruction', 'Quelle équipe a remporté son premier trophée sur Rocket League au WePlay e-sport Invitational?')","('input', None)","('response', 'La Karmine Corp')"
155,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle remporté la victoire pour obtenir son premier trophée sur Rocket League?')","('input', None)","('response', 'Team BDS')"
156,"('instruction', 'Quel était le score de la finale entre la Karmine Corp et Team BDS?')","('input', None)","('response', '4-1')"
157,"('instruction', 'Quel était le format de la finale du tournoi?')","('input', None)","('response', ""Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"")"
158,"('instruction', 'Combien la Karmine Corp a-t-elle remporté en dotation pour sa victoire?')","('input', None)","('response', '15 000 dollars')"
159,"('instruction', ""Quel est le nom de l'équipe qui s'est engagée en Rocket League Championship Series (RLCS) ?"")","('input', None)","('response', 'La Karmine Corp')"
160,"('instruction', 'Combien de segments le circuit RLCS est-il divisé ?')","('input', None)","('response', 'Le circuit est divisé en 3 segments (automne, hiver et printemps).')"
161,"('instruction', 'Quel joueur remplace Stake dans la Karmine Corp en avril 2022 ?')","('input', None)","('response', 'Joseph « noly » Kidd')"
162,"('instruction', 'Qui est le coach principal de la Karmine Corp en avril 2022 ?')","('input', None)","('response', 'Wagner « Eversax » Benjamin')"
163,"('instruction', 'Qui assiste Wagner « Eversax » Benjamin en tant que coach de la Karmine Corp en avril 2022 ?')","('input', None)","('response', 'Arleyobi')"
164,"('instruction', 'Quels joueurs ont rejoint la KCorp pour remplacer Aztral et Noly en Septembre 2022 ?')","('input', 'Septembre 2022')","('response', 'Vatira et Exotiik')"
165,"('instruction', ""Quel titre la nouvelle équipe de la KCorp a-t-elle remporté durant le split d'Automne en Octobre 2022 ?"")","('input', 'Octobre 2022')","('response', 'Un titre Regional Europe')"
166,"('instruction', ""Quel événement marque le point culminant de l'histoire de la KCorp en RLCS le 9 avril 2023 ?"")","('input', '9 avril 2023')","('response', ""La victoire 4-2 contre Faze en finale du Major d'Hiver 2023"")"
167,"('instruction', ""Qui a été désigné meilleur joueur offensif du Major d'Hiver 2023 ?"")","('input', ""Major d'Hiver 2023"")","('response', 'Vatira')"
168,"('instruction', 'Quel titre international la KCorp a-t-elle remporté après les championnats du monde en 2023 ?')","('input', '2023')","('response', ""Le titre du Major d'Hiver 2023"")"
169,"('instruction', 'Quand a lieu le HereticsXP ?')","('input', None)","('response', 'Le HereticsXP a lieu le 15 décembre 2023.')"
170,"('instruction', 'Qui remporte le showmatch lors du HereticsXP ?')","('input', None)","('response', 'La Karmine Corp remporte le showmatch 13-7.')"
171,"('instruction', ""Combien d'équipes participent au tournoi Kickoff de la nouvelle saison VCT ?"")","('input', None)","('response', '11 équipes participent au tournoi Kickoff de la nouvelle saison VCT.')"
172,"('instruction', 'Qui remporte le tournoi Kickoff de la nouvelle saison VCT ?')","('input', None)","('response', 'La Karmine Corp remporte le tournoi Kickoff de la nouvelle saison VCT.')"
173,"('instruction', 'Quel est le résultat de la Karmine Corp contre FPX lors des Masters ?')","('input', None)","('response', 'La Karmine Corp remporte 2-0 contre FPX lors des Masters.')"
174,"('instruction', 'Contre quelles équipes la Karmine Corp perd-elle lors des Masters ?')","('input', None)","('response', 'La Karmine Corp perd contre Sentinels et Paper Rex lors des Masters.')"
175,"('instruction', ""Quelle équipe a été annoncée pour participer à l'édition 2023 des Game changers EMEA ?"")","('input', 'date (9 février 2023)')","('response', ""La Karmine Corp a annoncé une équipe 100% féminine pour participer à l'édition 2023 des Game changers EMEA."")"
176,"('instruction', ""Qui sont les membres de l'équipe 100% féminine annoncée pour participer aux Game changers EMEA ?"")","('input', 'date (9 février 2023)')","('response', ""Les membres de l'équipe sont Asma « LiriLia » Boughida, Léa « matriix » Ransquin, Mélina « Mel » Houssein, Mathilde « Nelo » Beltoise et Nouhara « Ninou » Marcos Oraha."")"
